date,symbol,action,price,qty,cost,proceeds,pnl,pnl_pct
2026-02-10,INTC,BUY,47.130001068115234,31.826861150121893,1500.0,,,
2026-02-11,INTC,SELL,48.290000915527344,31.826861150121893,,1536.9191540777479,36.91915407774786,0.02461276938516519
2026-02-12,INTC,BUY,46.47999954223633,32.27194524038133,1500.0,,,
2026-02-12,AMD,BUY,205.94000244140625,7.28367477040687,1500.0,,,
2026-02-12,AVGO,BUY,329.9545593261719,4.546080536251043,1499.9999999999998,,,
2026-02-12,KEYS,BUY,229.47999572753906,6.536517465256299,1500.0,,,
2026-02-12,AMAT,BUY,327.57373046875,4.5791217685665355,1500.0000000000002,,,
2026-02-13,NVDA,BUY,182.58729553222656,8.215248468561992,1500.0,,,
2026-02-13,KEYS,SELL,233.50999450683594,6.536517465256299,,1526.3421574058357,26.342157405835678,0.017561438270557058
2026-02-13,AMAT,SELL,354.0278015136719,4.5791217685665355,,1621.1364125890075,121.13641258900725,0.08075760839267161
2026-02-17,NVDA,SELL,184.7446746826172,8.215248468561992,,1517.7234057613541,17.723405761354115,0.011815603840902768
2026-02-17,AVGO,SELL,331.31951904296875,4.546080536251043,,1506.205216801297,6.205216801297183,0.004136811200864673
2026-02-19,AMD,SELL,203.3699951171875,7.28367477040687,,1481.280902492827,-18.719097507173046,-0.01247939833811532
2026-02-24,INTC,SELL,46.119998931884766,32.27194524038133,,1488.3820800162305,-11.617919983769525,-0.007745279989179654
2026-02-26,INTC,BUY,45.459999084472656,32.996041139656356,1500.0,,,
2026-02-26,AMD,BUY,203.67999267578125,7.364493587682453,1500.0,,,
2026-02-26,NVDA,BUY,184.66476440429688,8.122827356040519,1500.0,,,
2026-02-26,LRCX,BUY,238.61582946777344,6.286255205053713,1500.0,,,
2026-02-26,AVGO,BUY,320.519287109375,4.6799055792487625,1500.0,,,
2026-02-26,AMAT,BUY,375.2535095214844,3.9972977252438477,1500.0,,,
2026-03-02,NVDA,SELL,182.25770568847656,8.122827356040519,,1480.447877615539,-19.552122384460972,-0.01303474825630733
2026-03-03,KEYS,BUY,302.5400085449219,4.958021939690917,1500.0,,,
2026-03-04,INTC,SELL,45.58000183105469,32.996041139656356,,1503.9596155630925,3.959615563092484,0.002639743708728306
2026-03-04,AMD,SELL,202.07000732421875,7.364493587682453,,1488.1432732021553,-11.856726797844658,-0.007904484531896475
2026-03-04,LRCX,SELL,222.83303833007812,6.286255205053713,,1400.7853470603873,-99.21465293961273,-0.06614310195974185
2026-03-04,AVGO,SELL,316.3645935058594,4.6799055792487625,,1480.556426224838,-19.443573775161894,-0.012962382516774612
2026-03-04,AMAT,SELL,357.3157958984375,3.9972977252438477,,1428.2976181385193,-71.70238186148072,-0.0478015879076539
2026-03-05,LRCX,BUY,214.52886962890625,6.992065928444559,1500.0,,,
